sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
185,0.096,0.078,0.114,0.102,0.006,0.042,0.0
186,0.108,0.06,0.132,0.096,0.006,0.042,0.0
187,0.108,0.066,0.126,0.102,0.0,0.042,0.012
188,0.102,0.066,0.132,0.084,0.006,0.042,0.012
189,0.096,0.066,0.114,0.078,0.006,0.042,0.012
190,0.078,0.066,0.108,0.072,0.012,0.036,0.006
191,0.102,0.06,0.114,0.078,0.0,0.036,0.012
192,0.096,0.06,0.102,0.072,0.0,0.036,0.012
193,0.06,0.066,0.108,0.066,0.0,0.036,0.006
194,0.066,0.072,0.12,0.06,0.006,0.036,0.006
195,0.06,0.06,0.114,0.072,0.006,0.03,0.006
196,0.06,0.078,0.096,0.084,0.006,0.03,0.012
197,0.066,0.072,0.084,0.066,0.0,0.024,0.012
198,0.066,0.108,0.072,0.084,0.006,0.024,0.012
199,0.06,0.084,0.084,0.072,0.0,0.024,0.012
200,0.06,0.108,0.072,0.072,0.0,0.024,0.006
201,0.06,0.096,0.084,0.084,0.0,0.024,0.012
202,0.06,0.126,0.066,0.072,0.006,0.018,0.006
203,0.06,0.102,0.072,0.072,0.006,0.018,0.006
204,0.066,0.114,0.084,0.078,0.0,0.03,0.0
205,0.066,0.132,0.078,0.066,0.006,0.018,0.006
206,0.066,0.12,0.096,0.108,0.006,0.018,0.006
207,0.072,0.108,0.078,0.078,0.006,0.024,0.012
208,0.066,0.096,0.096,0.066,0.006,0.018,0.006
209,0.096,0.084,0.096,0.072,0.0,0.018,0.006
210,0.072,0.114,0.096,0.072,0.0,0.024,0.006
211,0.084,0.096,0.084,0.072,0.0,0.018,0.006
212,0.12,0.102,0.126,0.072,0.0,0.018,0.006
213,0.108,0.168,0.102,0.072,0.006,0.018,0.0
214,0.084,0.096,0.108,0.072,0.0,0.024,0.006
215,0.078,0.078,0.12,0.066,0.0,0.024,0.012
216,0.096,0.072,0.108,0.066,0.0,0.024,0.006
217,0.12,0.066,0.102,0.054,0.0,0.018,0.006
218,0.096,0.072,0.126,0.06,0.0,0.018,0.006
219,0.102,0.072,0.12,0.054,0.0,0.018,0.006
220,0.096,0.108,0.096,0.048,0.006,0.024,0.006
221,0.108,0.054,0.102,0.06,0.006,0.018,0.006
222,0.084,0.048,0.126,0.048,0.0,0.018,0.006
223,0.084,0.048,0.108,0.048,0.0,0.018,0.006
224,0.12,0.078,0.108,0.048,0.0,0.018,0.006
225,0.078,0.048,0.114,0.042,0.0,0.012,0.0
226,0.078,0.042,0.102,0.036,0.0,0.018,0.0
227,0.102,0.042,0.108,0.042,0.006,0.018,0.006
