sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
211,0.06,0.0,0.006,0.066,0.018,0.0,0.012
212,0.06,0.006,0.018,0.066,0.018,0.0,0.012
213,0.06,0.0,0.012,0.078,0.018,0.0,0.012
214,0.054,0.0,0.012,0.09,0.018,0.0,0.0
215,0.06,0.0,0.012,0.066,0.018,0.0,0.006
216,0.066,0.006,0.006,0.06,0.018,0.0,0.006
217,0.072,0.0,0.012,0.072,0.012,0.0,0.006
218,0.072,0.0,0.012,0.09,0.006,0.0,0.006
219,0.072,0.0,0.012,0.066,0.006,0.0,0.0
220,0.054,0.0,0.012,0.066,0.006,0.0,0.012
221,0.078,0.0,0.012,0.072,0.012,0.0,0.012
222,0.06,0.0,0.012,0.114,0.018,0.0,0.012
223,0.066,0.0,0.006,0.084,0.012,0.0,0.012
224,0.06,0.0,0.006,0.072,0.012,0.0,0.012
225,0.084,0.0,0.006,0.108,0.006,0.0,0.012
226,0.102,0.0,0.006,0.066,0.018,0.0,0.006
227,0.066,0.006,0.012,0.084,0.012,0.0,0.006
228,0.06,0.0,0.012,0.096,0.006,0.0,0.006
229,0.06,0.006,0.012,0.084,0.006,0.0,0.012
230,0.054,0.0,0.012,0.078,0.006,0.0,0.012
231,0.054,0.0,0.012,0.072,0.012,0.0,0.006
232,0.054,0.0,0.006,0.072,0.018,0.0,0.012
233,0.066,0.0,0.012,0.084,0.012,0.0,0.006
234,0.054,0.0,0.006,0.096,0.012,0.0,0.0
235,0.048,0.006,0.006,0.072,0.012,0.0,0.012
236,0.06,0.006,0.012,0.072,0.006,0.0,0.012
237,0.072,0.0,0.012,0.102,0.006,0.0,0.006
238,0.06,0.006,0.006,0.108,0.018,0.0,0.0
239,0.072,0.012,0.012,0.096,0.006,0.0,0.006
240,0.078,0.006,0.006,0.066,0.006,0.0,0.006
241,0.048,0.006,0.012,0.078,0.006,0.0,0.006
242,0.054,0.0,0.012,0.114,0.012,0.0,0.006
243,0.054,0.006,0.012,0.12,0.012,0.0,0.006
244,0.054,0.006,0.006,0.096,0.006,0.0,0.0
245,0.054,0.012,0.006,0.114,0.006,0.0,0.0
246,0.06,0.006,0.006,0.084,0.0,0.0,0.006
247,0.072,0.006,0.012,0.108,0.006,0.0,0.006
248,0.078,0.006,0.012,0.12,0.012,0.0,0.012
249,0.066,0.012,0.012,0.12,0.006,0.0,0.006
